seid,eid,usn,role,scanned_at
23,69,1BM23IS256,participant,2026-03-13 05:14:03.127648+00
26,69,1BM23IS256,participant,2026-03-13 05:14:16.511576+00
27,69,1BM23IS256,participant,2026-03-13 05:24:29.923722+00
28,69,1BM23IS256,participant,2026-03-13 05:25:18.918547+00
29,69,1BM23IS256,participant,2026-03-13 05:25:34.663837+00
30,69,1BM23IS256,participant,2026-03-13 05:25:49.605168+00
23,69,1BM23IS255,participant,2026-03-13 05:41:37.202178+00
26,69,1BM23IS255,participant,2026-03-13 05:41:54.067874+00
